Wall time,Step,Value
1741169852.9219084,6212,4.5537614822387695
1741169860.0078983,6214,4.134047508239746
1741169879.9265115,6220,3.1357579231262207
1741169924.7453039,6233,4.309326171875
1741169986.7582428,6251,4.20515775680542
1741170123.198306,6290,3.743403911590576
1741170204.7505732,6313,3.6940441131591797
1741170218.2957654,6317,3.0516200065612793
1741170221.6849856,6318,3.592139959335327
1741170245.692448,6325,3.8481669425964355
1741170304.3027134,6342,3.3696835041046143
1741170342.7766738,6353,3.755016565322876
1741170381.7674437,6364,3.8882157802581787
1741170405.3974378,6371,4.024367809295654
1741170426.6288161,6377,3.9230728149414062
1741170502.9571955,6401,3.6060478687286377
1741170709.0508466,6460,3.623825788497925
1741170833.4171355,6496,4.326313018798828
1741170836.8590581,6497,4.261256694793701
1741170851.7293704,6501,3.6325278282165527
1741170923.1821535,6521,3.704746961593628
1741170927.696418,6522,3.516871929168701
1741170932.3305593,6523,3.224575996398926
1741170961.3248758,6531,4.326183319091797
1741171118.1670432,6575,3.102313995361328
1741171142.3778899,6582,3.746739387512207
1741171153.5944893,6585,3.5999879837036133
1741171221.6562366,6604,4.043096542358398
1741171412.7304053,6658,3.250969171524048
1741171443.7874804,6667,3.7205727100372314
1741171451.608826,6669,3.844797134399414
1741171464.792356,6673,3.9086737632751465
1741171485.5941412,6679,3.7812933921813965
1741171496.199317,6682,3.920067548751831
1741171521.4217293,6689,2.9033730030059814
1741171548.9196544,6697,3.891378879547119
1741171560.4247098,6700,3.998868465423584
1741171602.9136457,6712,3.9783079624176025
1741171696.0937924,6739,3.2461822032928467
1741171709.6345963,6743,3.548858165740967
1741171747.374487,6754,2.8846499919891357
1741171786.5413022,6765,3.9450953006744385
1741172023.3446207,6833,3.9191527366638184
1741172072.846022,6847,3.489417552947998
1741172101.3109572,6855,3.9802918434143066
1741172152.3133633,6869,3.344207286834717
1741172154.8754125,6870,4.088074684143066
1741172247.338212,6896,3.4728996753692627
1741172296.8366292,6910,3.6464335918426514
1741172386.8843853,6935,3.6283023357391357
1741172494.1470664,6964,3.558701992034912
1741172504.9616263,6967,3.816636562347412
1741172598.1408134,6993,3.8504750728607178
1741172664.520389,7011,3.429971694946289
1741172678.3261778,7015,3.832487106323242
1741172768.9030738,7040,3.6831419467926025
1741172862.7050269,7066,4.262143135070801
1741172954.0002444,7092,3.4109349250793457
1741173007.085088,7107,3.3298251628875732
1741173036.752849,7115,3.548295259475708
1741173040.3229852,7116,3.6298694610595703
1741173122.3026197,7138,3.3606977462768555
1741173137.2089994,7142,3.8382298946380615
1741173187.1857746,7156,3.4808151721954346
1741173332.3505926,7196,3.4489524364471436
1741173364.0499067,7205,3.377727508544922
1741173407.9487965,7217,3.531754732131958
1741173472.9465392,7236,3.5074589252471924
1741173482.2902439,7239,4.1365132331848145
1741173509.5509918,7248,3.3452441692352295
1741173697.2725081,7301,4.015130996704102
1741173736.7065928,7312,2.5689380168914795
1741173799.20456,7330,2.987471342086792
1741173835.196463,7340,3.3980112075805664
1741173838.3765898,7341,4.303229808807373
1741173902.2609096,7359,4.008866310119629
1741173906.0610898,7360,3.779956817626953
1741173988.5401042,7383,3.829810619354248
1741174003.0865228,7387,3.567359447479248
1741174056.1305287,7402,3.654454231262207
1741174163.8116937,7432,3.5194954872131348
1741174196.6174092,7441,4.077656269073486
1741174208.7217653,7444,4.375205993652344
1741174234.8448243,7451,3.9961743354797363
1741174271.8622305,7461,3.6424293518066406
1741174282.4424484,7464,3.989488124847412
1741174300.4150584,7469,3.983839750289917
1741174335.5002215,7479,4.008047580718994
1741174421.4386709,7503,3.3484325408935547
1741174455.2523265,7512,4.347488880157471
1741174523.971082,7531,3.8050405979156494
1741174589.8360348,7548,3.1620869636535645
1741174816.029454,7610,3.2080304622650146
1741174943.8819332,7645,3.1465742588043213
1741175010.0170667,7662,3.528449058532715
1741175045.119718,7672,3.1741018295288086
1741175064.399386,7677,3.9648971557617188
1741175104.9165597,7688,4.127562522888184
1741175128.2702603,7694,4.137302398681641
1741175153.0176105,7701,4.249427318572998
1741175218.771028,7719,3.5614089965820312
1741175237.025734,7724,3.4663047790527344
1741175254.8679183,7729,3.4633572101593018
1741175319.7437124,7747,3.554809093475342
1741175358.5548017,7758,4.082301139831543
1741175368.3704402,7761,3.5802955627441406
1741175433.246853,7781,3.710341691970825
1741175463.0159018,7789,3.4887917041778564
1741175499.8855338,7799,3.970271110534668
1741175543.5223646,7811,3.950493097305298
1741175625.5597456,7834,3.4089982509613037
1741175643.712953,7839,3.556264638900757
1741175862.0203807,7900,3.516362190246582
1741175865.3698533,7901,4.151418209075928
1741175978.3551195,7933,3.448072910308838
1741176123.5947294,7976,3.408437490463257
1741176151.6846306,7984,4.626169204711914
1741176180.6435218,7992,4.305632591247559
1741176183.9609864,7993,3.939774990081787
1741176296.361193,8027,3.387195110321045
1741176335.077725,8038,3.8952255249023438
1741176379.0469382,8050,3.0556914806365967
1741176439.7575128,8067,3.7436087131500244
1741176652.583642,8127,3.801619291305542
1741176739.7883096,8151,2.9876365661621094
1741176846.605335,8181,4.013709545135498
1741176859.3894377,8185,3.726020336151123
1741176903.529846,8199,3.832061290740967
1741176963.4227753,8216,3.595003604888916
1741176985.1118805,8222,4.175957679748535
1741177136.0236726,8264,3.5113861560821533
1741177191.145492,8280,3.9006786346435547
1741177230.9064035,8291,3.3113443851470947
1741177263.4466043,8300,3.657317638397217
1741177292.1579812,8308,3.8528480529785156
1741177367.320985,8328,3.0909907817840576
1741177374.3369436,8330,3.5392403602600098
1741177385.9733393,8333,3.388831853866577
1741177393.413732,8335,3.5062766075134277
1741177414.9163072,8341,4.6704840660095215
1741177488.0251358,8361,3.963207483291626
1741177498.8173323,8364,3.8686091899871826
1741177516.8787305,8369,4.330488204956055
1741177548.2153826,8378,3.0420031547546387
1741177796.0501387,8448,3.6605420112609863
1741177869.4276192,8468,3.012789011001587
1741177873.6386805,8469,3.170422077178955
1741177879.883662,8471,4.286530494689941
1741177930.6897273,8485,3.165766716003418
1741177945.2206135,8489,3.7206640243530273
1741177978.5543168,8498,3.6839022636413574
1741177982.222779,8499,3.3234004974365234
1741177999.004033,8504,3.205592393875122
1741178017.0646753,8509,3.401845932006836
1741178069.2208505,8524,3.902900218963623
1741178178.9557884,8555,3.4408693313598633
1741178222.3597887,8567,3.4240429401397705
1741178248.0039973,8574,3.572707176208496
1741178265.2288725,8579,3.29943585395813
1741178315.6178508,8593,3.15390944480896
1741178347.4788306,8602,4.370078086853027
1741178438.0146098,8628,3.044203042984009
1741178462.9489634,8635,3.5397872924804688
1741178467.0454335,8636,3.824495315551758
1741178497.4000049,8645,3.389108896255493
1741178630.9086444,8683,3.6255733966827393
1741178658.9297595,8691,3.697331190109253
1741178662.6353111,8692,3.9877266883850098
1741178675.4984899,8696,3.092027187347412
1741178786.6298378,8728,2.792701244354248
1741178952.8147464,8775,3.7767410278320312
1741178966.0622072,8779,3.644435405731201
1741179028.4770715,8797,3.508725881576538
1741179046.3442,8802,3.4500114917755127
1741179108.9402761,8820,3.1969659328460693
1741179119.222286,8823,3.569610834121704
1741179193.5567765,8844,3.432615280151367
1741179231.5806596,8855,3.478519916534424
1741179314.3711686,8879,3.173258066177368
1741179340.1283636,8886,3.8548498153686523
1741179398.358306,8903,3.613765239715576
1741179404.898478,8905,3.202670097351074
1741179416.0562043,8908,3.5568127632141113
1741179489.9823732,8929,3.9401748180389404
1741179496.2026832,8931,3.6881392002105713
1741179512.3668807,8936,3.5652148723602295
1741179546.0727613,8947,3.5730247497558594
1741179586.8103251,8959,3.614642381668091
1741179646.4735808,8976,3.556614637374878
1741179709.9546325,8994,3.4078750610351562
1741179730.4201925,9000,3.400109052658081
1741179766.7650049,9010,3.7079625129699707
1741179828.9595022,9028,3.5395636558532715
1741179832.249838,9029,3.7356135845184326
1741179926.903382,9056,3.4390876293182373
1741179955.796082,9064,3.5674729347229004
1741179990.9547026,9074,3.438312530517578
1741180029.7068145,9085,3.452221632003784
1741180101.9399142,9106,4.157867431640625
1741180166.2637453,9124,3.485600471496582
1741180280.1290104,9156,3.4275104999542236
1741180305.4990232,9163,3.4883124828338623
1741180491.3982413,9215,3.9753825664520264
1741180498.3367763,9217,3.2105214595794678
1741180534.3068583,9227,3.7566637992858887
1741180559.109112,9234,3.9785163402557373
1741180658.2768052,9261,3.5447967052459717
1741180732.0921047,9282,3.6842501163482666
1741180766.9147274,9292,3.167027473449707
1741180822.5126934,9308,3.3465425968170166
1741180829.725562,9310,4.011293411254883
1741180854.58818,9317,4.00376558303833
1741180969.6050425,9349,3.510741710662842
1741180988.7912474,9354,3.083906888961792
1741181023.9512737,9365,3.5933003425598145
1741181038.7998872,9370,3.550419569015503
1741181188.8788512,9413,3.6850767135620117
1741181199.5917299,9416,3.3751635551452637
1741181270.8713863,9436,3.80417537689209
1741181291.0921805,9442,2.8839218616485596
1741181294.4218588,9443,3.275575637817383
1741181383.77338,9469,3.9979052543640137
1741181407.4141648,9476,3.7205393314361572
1741181626.5954776,9539,3.3520119190216064
1741181656.8547387,9548,3.1135854721069336
1741181680.7294662,9555,4.1631598472595215
1741181691.8238058,9558,3.435753345489502
1741181716.493451,9565,3.337663412094116
1741181727.0106397,9568,3.4792368412017822
1741181805.5798552,9590,3.9731783866882324
1741181842.5216625,9601,3.3167054653167725
1741181880.9450634,9612,3.2754533290863037
1741181921.7648163,9624,3.5074329376220703
1741181925.4512892,9625,3.3160080909729004
1741181935.7252123,9628,3.2087435722351074
1741182021.0999146,9652,3.4878411293029785
1741182042.761598,9658,3.8143885135650635
1741182126.0331535,9681,3.6999521255493164
1741182159.190602,9691,3.2148635387420654
1741182184.849792,9699,3.3968656063079834
1741182407.357206,9760,3.3062069416046143
1741182440.7496872,9769,3.136291742324829
1741182471.8846188,9778,3.973785638809204
1741182600.7474973,9813,3.307966947555542
1741182703.8713162,9841,3.303898811340332
1741182715.108875,9844,3.259967803955078
1741182849.398229,9884,3.3094117641448975
1741182935.4673874,9908,3.9449820518493652
1741182971.2007573,9918,3.7810096740722656
1741183162.1585815,9973,3.3525290489196777
1741183208.9349878,9986,3.860150098800659
1741183310.8269515,10015,3.580580711364746
1741183435.4843328,10051,3.3558337688446045
1741183452.539673,10056,3.6552929878234863
1741183456.133072,10057,3.5890634059906006
1741183463.528963,10059,3.842531204223633
1741183513.2692437,10073,3.4550228118896484
1741183555.745672,10085,3.4398772716522217
1741183635.8120608,10108,3.8660597801208496
1741183654.6067717,10114,3.795426607131958
1741183701.9776382,10129,3.141338348388672
1741183723.7206924,10135,3.647752285003662
1741183759.2741027,10145,3.174346923828125
1741183844.5541701,10169,3.6435770988464355
1741183905.4058554,10186,2.8827106952667236
1741183980.243774,10208,3.429170608520508
1741184089.148089,10239,4.158016681671143
1741184113.0139923,10246,3.601930856704712
1741184152.5241609,10257,3.3132379055023193
1741184209.4938595,10273,3.7062368392944336
1741184224.2784116,10277,3.2379894256591797
1741184248.8593402,10284,3.682466745376587
1741184267.565646,10289,3.769730806350708
1741184417.9405243,10331,3.5174167156219482
1741184548.312386,10367,3.2763516902923584
1741184646.0030377,10395,3.544339418411255
1741184652.8433864,10397,2.8616089820861816
1741184656.3262472,10398,3.6415953636169434
1741184663.8029609,10400,3.620995283126831
1741184684.1350865,10406,2.9905810356140137
1741184716.4106038,10415,3.1543354988098145
1741184736.8719306,10421,3.588714122772217
1741184754.1082876,10426,4.078642845153809
1741184860.672741,10455,2.693582773208618
1741184912.8635814,10469,3.442248821258545
1741184951.88074,10480,3.9135963916778564
1741184989.3613572,10490,2.35609769821167
1741185005.8892593,10494,3.13749098777771
1741185009.2578826,10495,3.7229840755462646
1741185112.7929838,10523,3.268563985824585
